Id,Label,Jaccard Similarity,,,,,,,,
Chart-1-correct-1624652313224,CORRECT,0.30211216,,,,,,,,
Chart-10-correct-1628244108377,CORRECT,0.582800436,,,,,,,,
Chart-11-correct-1636433467568,CORRECT,0.350974319,,,,,,,,
Chart-12-correct-1624652314223,CORRECT,0.118374648,,,,,,,,
Chart-14-correct-1624652314258,CORRECT,0.291172141,,,,,,,,
Chart-15-correct-1624652314261,CORRECT,0.33726821,,,,,,,,
Chart-16-correct-1636433467534,CORRECT,0.222224405,,,,,,,,
Chart-17-correct-1624652314278,CORRECT,0.175066964,,,,,,,,
Chart-18-correct-1624652314282,CORRECT,0.546001292,,,,,,,,
Chart-2-correct-1636433467234,CORRECT,0.553739512,,,,,,,,
Chart-20-correct-1636433467525,CORRECT,0.568000145,,,,,,,,
Chart-21-correct-1624652314218,CORRECT,0.343405677,,,,,,,,
Chart-22-correct-1624652314221,CORRECT,0.163771301,,,,,,,,
Chart-23-correct-1636433467505,CORRECT,0.600892324,,,,,,,,
Chart-24-correct-1624652314185,CORRECT,0.521269356,,,,,,,,
Chart-25-correct-1624652314186,CORRECT,0.660370537,,,,,,,,
Chart-26-correct-1624652314207,CORRECT,0.318997957,,,,,,,,
Chart-3-correct-1624652313195,CORRECT,0.159168338,,,,,,,,
Chart-4-correct-1636433467232,CORRECT,0.183642235,,,,,,,,
Chart-5-correct-1624652313209,CORRECT,0.126364577,,,,,,,,
Chart-6-correct-1624652313206,CORRECT,0.504194148,,,,,,,,
Chart-7-correct-1624652313250,CORRECT,0.30959381,,,,,,,,
Chart-8-correct-1636433467235,CORRECT,0.288919243,,,,,,,,
Chart-9-correct-1624652313258,CORRECT,0.132362652,,,,,,,,
Chart-1-incorrect-1624652313235,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313246,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313236,INCORRECT,0.289473684,,,,,,,,
Chart-1-incorrect-1624652313247,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313237,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313248,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313227,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313238,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313249,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313228,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313239,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313229,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313240,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313230,INCORRECT,0.116935484,,,,,,,,
Chart-1-incorrect-1624652313241,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313231,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313242,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313232,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313243,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313233,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313244,INCORRECT,0.290748899,,,,,,,,
Chart-1-incorrect-1624652313245,INCORRECT,0.290748899,,,,,,,,
Chart-10-incorrect-1628244108377,INCORRECT,0.5,,,,,,,,
Chart-12-incorrect-1624652314229,INCORRECT,0.088235294,,,,,,,,
Chart-12-incorrect-1624652314228,INCORRECT,0.088235294,,,,,,,,
Chart-12-incorrect-1624652314227,INCORRECT,0.088235294,,,,,,,,
Chart-12-incorrect-1624652314226,INCORRECT,0.196261682,,,,,,,,
Chart-12-incorrect-1624652314225,INCORRECT,0.463414634,,,,,,,,
Chart-12-incorrect-1624652314224,INCORRECT,0.058823529,,,,,,,,
Chart-12-incorrect-1624652314235,INCORRECT,0.088235294,,,,,,,,
Chart-12-incorrect-1624652314234,INCORRECT,0.088235294,,,,,,,,
Chart-12-incorrect-1624652314233,INCORRECT,0.088235294,,,,,,,,
