Id,Label,Cosine Similarity,,,,,,,
Math-1-correct-1624652313530,CORRECT,0.995444343,,,,,,,
Math-10-correct-1636433467481,CORRECT,0.994873143,,,,,,,
Math-100-correct-1636433466579,CORRECT,0.995530726,,,,,,,
Math-101-correct-1628244108085,CORRECT,0.99299999,,,,,,,
Math-102-correct-1636433466575,CORRECT,0.903342062,,,,,,,
Math-103-correct-1624652313421,CORRECT,1,,,,,,,
Math-104-correct-1624652313416,CORRECT,0.5,,,,,,,
Math-105-correct-1624652313412,CORRECT,0.845154255,,,,,,,
Math-106-correct-1636433466525,CORRECT,0.993458596,,,,,,,
Math-11-correct-1628244108342,CORRECT,0.978553881,,,,,,,
Math-12-correct-1636433467482,CORRECT,0,,,,,,,
Math-13-correct-1636433467483,CORRECT,0.510249968,,,,,,,
Math-14-correct-1636433467458,CORRECT,0.843661488,,,,,,,
Math-15-correct-1624652314181,CORRECT,0.99960016,,,,,,,
Math-17-correct-1636433467463,CORRECT,0.800640769,,,,,,,
Math-18-correct-1624652314183,CORRECT,0.988451522,,,,,,,
Math-19-correct-1636433467473,CORRECT,0.983867931,,,,,,,
Math-2-correct-1624652313535,CORRECT,0.97618706,,,,,,,
Math-20-correct-1624652313617,CORRECT,0.8,,,,,,,
Math-21-correct-1636433467143,CORRECT,0.983194052,,,,,,,
Math-22-correct-1624652313642,CORRECT,1,,,,,,,
Math-23-correct-1636433467144,CORRECT,0.996359611,,,,,,,
Math-24-correct-1624652313647,CORRECT,0.998980889,,,,,,,
Math-25-correct-1636433467097,CORRECT,0.998078857,,,,,,,
Math-26-correct-1636433467098,CORRECT,0.988256376,,,,,,,
Math-27-correct-1636433467100,CORRECT,0.790569415,,,,,,,
Math-28-correct-1624652313580,CORRECT,0.996020655,,,,,,,
Math-29-correct-1624652313605,CORRECT,0.823586409,,,,,,,
Math-3-correct-1624652313525,CORRECT,0.99641394,,,,,,,
Math-30-correct-1624652313663,CORRECT,0.98996742,,,,,,,
Math-31-correct-1624652313664,CORRECT,0.806841389,,,,,,,
Math-32-correct-1624652313677,CORRECT,0.997255917,,,,,,,
Math-33-correct-1624652313683,CORRECT,0.999057493,,,,,,,
Math-34-correct-1636433467198,CORRECT,0.755928946,,,,,,,
Math-35-correct-1636433467200,CORRECT,0.6457766,,,,,,,
Math-36-correct-1636433467168,CORRECT,0.823844167,,,,,,,
Math-37-correct-1636433467169,CORRECT,0.895806416,,,,,,,
Math-38-correct-1636433467171,CORRECT,0.999476916,,,,,,,
Math-39-correct-1624652313651,CORRECT,0.995000204,,,,,,,
Math-4-correct-1624652313527,CORRECT,0.985917034,,,,,,,
Math-40-correct-1624652313440,CORRECT,0,,,,,,,
Math-41-correct-1624652313455,CORRECT,0.993473124,,,,,,,
Math-42-correct-1624652313459,CORRECT,0.990703265,,,,,,,
Math-43-correct-1624652313463,CORRECT,0.942922337,,,,,,,
Math-44-correct-1624652313465,CORRECT,0.991090204,,,,,,,
Math-45-correct-1636433467008,CORRECT,0.682280093,,,,,,,
Math-46-correct-1636433467010,CORRECT,0.993571576,,,,,,,
