Id,Label,Cosine Similarity,,,,,,,,
Chart-1-correct-1624652313224,CORRECT,0.998009948,,,,,,,,
Chart-10-correct-1628244108377,CORRECT,0.852802865,,,,,,,,
Chart-11-correct-1636433467568,CORRECT,0.998324958,,,,,,,,
Chart-12-correct-1624652314223,CORRECT,0.990771995,,,,,,,,
Chart-13-correct-1624652314236,CORRECT,0.999662842,,,,,,,,
Chart-14-correct-1624652314258,CORRECT,0.978732173,,,,,,,,
Chart-15-correct-1624652314261,CORRECT,0.970655243,,,,,,,,
Chart-16-correct-1636433467534,CORRECT,0.992698353,,,,,,,,
Chart-17-correct-1624652314278,CORRECT,0.584306547,,,,,,,,
Chart-18-correct-1624652314282,CORRECT,0.904147934,,,,,,,,
Chart-19-correct-1624652314286,CORRECT,0.879465397,,,,,,,,
Chart-2-correct-1636433467234,CORRECT,0.982963906,,,,,,,,
Chart-20-correct-1636433467525,CORRECT,0.866025404,,,,,,,,
Chart-21-correct-1624652314218,CORRECT,0.975106925,,,,,,,,
Chart-22-correct-1624652314221,CORRECT,0.961165719,,,,,,,,
Chart-23-correct-1636433467505,CORRECT,1,,,,,,,,
Chart-24-correct-1624652314185,CORRECT,0.990386482,,,,,,,,
Chart-25-correct-1624652314186,CORRECT,0.997828841,,,,,,,,
Chart-26-correct-1624652314207,CORRECT,0.999818994,,,,,,,,
Chart-3-correct-1624652313195,CORRECT,0.958406441,,,,,,,,
Chart-4-correct-1636433467232,CORRECT,0.99933874,,,,,,,,
Chart-5-correct-1624652313209,CORRECT,0.989877798,,,,,,,,
Chart-6-correct-1624652313206,CORRECT,0.67219362,,,,,,,,
Chart-7-correct-1624652313250,CORRECT,0.998780115,,,,,,,,
Chart-8-correct-1636433467235,CORRECT,0.77151675,,,,,,,,
Chart-9-correct-1624652313258,CORRECT,0.992485586,,,,,,,,
Chart-1-incorrect-1624652313235,INCORRECT,0.998165384,,,,,,,,
Chart-1-incorrect-1624652313246,INCORRECT,0.992627064,,,,,,,,
Chart-1-incorrect-1624652313236,INCORRECT,0.996111243,,,,,,,,
Chart-1-incorrect-1624652313247,INCORRECT,0.957298532,,,,,,,,
Chart-1-incorrect-1624652313237,INCORRECT,0.994175164,,,,,,,,
Chart-1-incorrect-1624652313248,INCORRECT,0.993035317,,,,,,,,
Chart-1-incorrect-1624652313227,INCORRECT,0.995141791,,,,,,,,
Chart-1-incorrect-1624652313238,INCORRECT,0.998110159,,,,,,,,
Chart-1-incorrect-1624652313249,INCORRECT,0.993035317,,,,,,,,
Chart-1-incorrect-1624652313228,INCORRECT,0.994892797,,,,,,,,
Chart-1-incorrect-1624652313239,INCORRECT,0.992745472,,,,,,,,
Chart-1-incorrect-1624652313229,INCORRECT,0.994892797,,,,,,,,
Chart-1-incorrect-1624652313240,INCORRECT,0.988537357,,,,,,,,
Chart-1-incorrect-1624652313230,INCORRECT,0.995333125,,,,,,,,
Chart-1-incorrect-1624652313241,INCORRECT,0.988816139,,,,,,,,
Chart-1-incorrect-1624652313231,INCORRECT,0.998165384,,,,,,,,
Chart-1-incorrect-1624652313242,INCORRECT,0.992563116,,,,,,,,
Chart-1-incorrect-1624652313232,INCORRECT,0.996089693,,,,,,,,
Chart-1-incorrect-1624652313243,INCORRECT,0.985181697,,,,,,,,
Chart-1-incorrect-1624652313233,INCORRECT,0.991021486,,,,,,,,
Chart-1-incorrect-1624652313244,INCORRECT,0.992391293,,,,,,,,
Chart-1-incorrect-1624652313245,INCORRECT,0.998110159,,,,,,,,
Chart-10-incorrect-1628244108377,INCORRECT,1,,,,,,,,
Chart-12-incorrect-1624652314229,INCORRECT,0.968319373,,,,,,,,
Chart-12-incorrect-1624652314228,INCORRECT,0.986371198,,,,,,,,
Chart-12-incorrect-1624652314227,INCORRECT,0.986371198,,,,,,,,
Chart-12-incorrect-1624652314226,INCORRECT,1,,,,,,,,
Chart-12-incorrect-1624652314225,INCORRECT,0.934198733,,,,,,,,
Chart-12-incorrect-1624652314224,INCORRECT,0.930331255,,,,,,,,
Chart-12-incorrect-1624652314235,INCORRECT,0.962292765,,,,,,,,
Chart-12-incorrect-1624652314234,INCORRECT,0.968319373,,,,,,,,
Chart-12-incorrect-1624652314233,INCORRECT,0.968319373,,,,,,,,
Chart-12-incorrect-1624652314232,INCORRECT,0.98427635,,,,,,,,
Chart-12-incorrect-1624652314230,INCORRECT,0.98112488,,,,,,,,
Chart-13-incorrect-1628244108353,INCORRECT,0.999465526,,,,,,,,
Chart-13-incorrect-1628244108352,INCORRECT,0.999822399,,,,,,,,
Chart-13-incorrect-1624652314239,INCORRECT,0.999733508,,,,,,,,
Chart-13-incorrect-1628244108354,INCORRECT,0.999443917,,,,,,,,
Chart-13-incorrect-1624652314238,INCORRECT,0.997345037,,,,,,,,
Chart-13-incorrect-1628244108357,INCORRECT,0.999601422,,,,,,,,
Chart-13-incorrect-1628244108356,INCORRECT,0.999465399,,,,,,,,
Chart-13-incorrect-1624652314258,INCORRECT,0.997240723,,,,,,,,
Chart-13-incorrect-1624652314257,INCORRECT,0.997240723,,,,,,,,
Chart-13-incorrect-1624652314256,INCORRECT,0.999685797,,,,,,,,
Chart-13-incorrect-1624652314255,INCORRECT,0.997691214,,,,,,,,
Chart-13-incorrect-1624652314254,INCORRECT,0.997404043,,,,,,,,
Chart-13-incorrect-1624652314253,INCORRECT,0.999685797,,,,,,,,
Chart-13-incorrect-1624652314252,INCORRECT,0.998445551,,,,,,,,
Chart-13-incorrect-1624652314251,INCORRECT,0.999584346,,,,,,,,
Chart-13-incorrect-1628244108361,INCORRECT,0.999465399,,,,,,,,
Chart-13-incorrect-1628244108364,INCORRECT,0.999822399,,,,,,,,
Chart-13-incorrect-1628244108363,INCORRECT,0.999466667,,,,,,,,
Chart-13-incorrect-1628244108366,INCORRECT,0.999390411,,,,,,,,
Chart-13-incorrect-1628244108365,INCORRECT,0.99982189,,,,,,,,
Chart-13-incorrect-1624652314249,INCORRECT,0.999317949,,,,,,,,
Chart-13-incorrect-1624652314248,INCORRECT,0.773526784,,,,,,,,
Chart-13-incorrect-1624652314247,INCORRECT,0.996621181,,,,,,,,
Chart-13-incorrect-1624652314246,INCORRECT,0.999161257,,,,,,,,
Chart-13-incorrect-1624652314245,INCORRECT,0.970700278,,,,,,,,
Chart-13-incorrect-1624652314244,INCORRECT,0.999824103,,,,,,,,
Chart-13-incorrect-1624652314243,INCORRECT,0.998713877,,,,,,,,
Chart-13-incorrect-1624652314242,INCORRECT,0.934550781,,,,,,,,
Chart-13-incorrect-1624652314241,INCORRECT,0.999510858,,,,,,,,
Chart-13-incorrect-1628244108360,INCORRECT,0.999644397,,,,,,,,
Chart-13-incorrect-1624652314240,INCORRECT,0.999510858,,,,,,,,
Chart-13-incorrect-1624652314250,INCORRECT,0.9979141,,,,,,,,
Chart-13-incorrect-1628244108359,INCORRECT,0.999822081,,,,,,,,
Chart-13-incorrect-1628244108358,INCORRECT,0.999411342,,,,,,,,
Chart-15-incorrect-1628244108371,INCORRECT,0.951885268,,,,,,,,
Chart-15-incorrect-1628244108370,INCORRECT,0.957446809,,,,,,,,
Chart-15-incorrect-1628244108373,INCORRECT,0.999960457,,,,,,,,
Chart-15-incorrect-1628244108372,INCORRECT,0.957446809,,,,,,,,
Chart-15-incorrect-1624652314261,INCORRECT,0.957446809,,,,,,,,
Chart-15-incorrect-1624652314262,INCORRECT,0.998872329,,,,,,,,
Chart-15-incorrect-1624652314263,INCORRECT,1,,,,,,,,
Chart-15-incorrect-1624652314274,INCORRECT,0.994748651,,,,,,,,
Chart-15-incorrect-1624652314264,INCORRECT,0.999731652,,,,,,,,
Chart-15-incorrect-1624652314275,INCORRECT,0.999855901,,,,,,,,
Chart-15-incorrect-1624652314276,INCORRECT,0.999855901,,,,,,,,
Chart-15-incorrect-1624652314266,INCORRECT,0.999960457,,,,,,,,
Chart-15-incorrect-1624652314277,INCORRECT,0.999855901,,,,,,,,
Chart-15-incorrect-1624652314267,INCORRECT,0.999976165,,,,,,,,
Chart-17-incorrect-1624652314281,INCORRECT,0.976764098,,,,,,,,
Chart-17-incorrect-1624652314279,INCORRECT,0.986477608,,,,,,,,
Chart-18-incorrect-1628244108376,INCORRECT,1,,,,,,,,
Chart-19-incorrect-1624652314287,INCORRECT,0.93380492,,,,,,,,
Chart-19-incorrect-1624652314288,INCORRECT,0.988569288,,,,,,,,
Chart-21-incorrect-1624652314219,INCORRECT,0.776791238,,,,,,,,
Chart-21-incorrect-1624652314220,INCORRECT,0.898585406,,,,,,,,
Chart-21-incorrect-1624652314221,INCORRECT,0.952606256,,,,,,,,
Chart-24-incorrect-1624652314186,INCORRECT,0.947401759,,,,,,,,
Chart-25-incorrect-1624652314204,INCORRECT,0.954301942,,,,,,,,
Chart-25-incorrect-1624652314203,INCORRECT,0.974358974,,,,,,,,
Chart-25-incorrect-1624652314206,INCORRECT,0.891555828,,,,,,,,
Chart-25-incorrect-1624652314205,INCORRECT,0.801336676,,,,,,,,
Chart-25-incorrect-1624652314207,INCORRECT,0.951112709,,,,,,,,
Chart-25-incorrect-1624652314195,INCORRECT,0.991635067,,,,,,,,
Chart-25-incorrect-1624652314187,INCORRECT,0.836660027,,,,,,,,
Chart-25-incorrect-1624652314198,INCORRECT,0.949075559,,,,,,,,
Chart-25-incorrect-1624652314189,INCORRECT,1,,,,,,,,
Chart-25-incorrect-1624652314200,INCORRECT,0.998683992,,,,,,,,
Chart-25-incorrect-1628244108345,INCORRECT,0.8,,,,,,,,
Chart-25-incorrect-1624652314188,INCORRECT,0.996761741,,,,,,,,
Chart-25-incorrect-1624652314199,INCORRECT,0.997574922,,,,,,,,
Chart-25-incorrect-1628244108344,INCORRECT,0.947696628,,,,,,,,
Chart-25-incorrect-1628244108343,INCORRECT,0.996500547,,,,,,,,
Chart-25-incorrect-1624652314201,INCORRECT,0.700770301,,,,,,,,
Chart-25-incorrect-1628244108348,INCORRECT,0.981572187,,,,,,,,
Chart-25-incorrect-1624652314190,INCORRECT,0.980271144,,,,,,,,
Chart-25-incorrect-1628244108347,INCORRECT,0.974358974,,,,,,,,
Chart-25-incorrect-1628244108346,INCORRECT,0.9979716,,,,,,,,
Chart-25-incorrect-1624652314192,INCORRECT,0.984313516,,,,,,,,
Chart-25-incorrect-1624652314191,INCORRECT,0.984313516,,,,,,,,
Chart-25-incorrect-1624652314194,INCORRECT,0.880704846,,,,,,,,
Chart-26-incorrect-1628244108349,INCORRECT,0.999909351,,,,,,,,
Chart-26-incorrect-1624652314215,INCORRECT,0.999729471,,,,,,,,
Chart-26-incorrect-1624652314216,INCORRECT,0.999818972,,,,,,,,
Chart-26-incorrect-1624652314213,INCORRECT,0.999553105,,,,,,,,
Chart-26-incorrect-1624652314208,INCORRECT,0.999560056,,,,,,,,
Chart-26-incorrect-1624652314209,INCORRECT,0.999731041,,,,,,,,
Chart-26-incorrect-1624652314217,INCORRECT,0.999052716,,,,,,,,
Chart-26-incorrect-1624652314218,INCORRECT,0.999864997,,,,,,,,
Chart-26-incorrect-1628244108350,INCORRECT,0.999818709,,,,,,,,
Chart-26-incorrect-1624652314211,INCORRECT,0.99900588,,,,,,,,
Chart-26-incorrect-1624652314212,INCORRECT,0.999818824,,,,,,,,
Chart-26-incorrect-1624652314210,INCORRECT,0.988859485,,,,,,,,
Chart-3-incorrect-1624652313200,INCORRECT,0.904534034,,,,,,,,
Chart-3-incorrect-1624652313201,INCORRECT,0.978212373,,,,,,,,
Chart-3-incorrect-1624652313203,INCORRECT,0.979717559,,,,,,,,
Chart-3-incorrect-1624652313205,INCORRECT,0.993871122,,,,,,,,
Chart-3-incorrect-1624652313198,INCORRECT,0.904534034,,,,,,,,
Chart-3-incorrect-1624652313199,INCORRECT,0.998303785,,,,,,,,
Chart-5-incorrect-1628244107960,INCORRECT,0.930949336,,,,,,,,
Chart-5-incorrect-1628244107961,INCORRECT,0.99395322,,,,,,,,
Chart-5-incorrect-1628244107962,INCORRECT,0.990198059,,,,,,,,
Chart-5-incorrect-1624652313218,INCORRECT,0.988281803,,,,,,,,
Chart-5-incorrect-1624652313219,INCORRECT,0.930949336,,,,,,,,
Chart-5-incorrect-1624652313210,INCORRECT,0.993574336,,,,,,,,
