Id,Label,Cosine Similarity,,,,,,,
Closure-1-correct-1624652314123,CORRECT,0.994280962,,,,,,,
Closure-10-correct-1624652313294,CORRECT,0.944444444,,,,,,,
Closure-100-correct-1636433467344,CORRECT,0.953900696,,,,,,,
Closure-101-correct-1624652314119,CORRECT,0.994764693,,,,,,,
Closure-102-correct-1636433467401,CORRECT,1,,,,,,,
Closure-103-correct-1636433467400,CORRECT,0.978838114,,,,,,,
Closure-104-correct-1636433467399,CORRECT,0.993349854,,,,,,,
Closure-105-correct-1636433467396,CORRECT,0.989503725,,,,,,,
Closure-106-correct-1624652314117,CORRECT,0.947003716,,,,,,,
Closure-107-correct-1624652314115,CORRECT,0.996477507,,,,,,,
Closure-108-correct-1624652314106,CORRECT,0.99896085,,,,,,,
Closure-109-correct-1624652314104,CORRECT,0.625543242,,,,,,,
Closure-11-correct-1636433467403,CORRECT,0.981746103,,,,,,,
Closure-110-correct-1636433467404,CORRECT,0.98012234,,,,,,,
Closure-111-correct-1636433467402,CORRECT,0,,,,,,,
Closure-112-correct-1624652314144,CORRECT,0.990838654,,,,,,,
Closure-113-correct-1624652314142,CORRECT,0.997383113,,,,,,,
Closure-114-correct-1624652314137,CORRECT,0.984788146,,,,,,,
Closure-115-correct-1624652314134,CORRECT,0.9797224,,,,,,,
Closure-116-correct-1624652314132,CORRECT,0.9797224,,,,,,,
Closure-117-correct-1624652314129,CORRECT,1,,,,,,,
Closure-118-correct-1636433467406,CORRECT,0.996091183,,,,,,,
Closure-119-correct-1624652314126,CORRECT,0.999691353,,,,,,,
Closure-12-correct-1624652313292,CORRECT,0.363803438,,,,,,,
Closure-120-correct-1624652314152,CORRECT,0.965262512,,,,,,,
Closure-121-correct-1624652314150,CORRECT,0.998173087,,,,,,,
Closure-122-correct-1624652314148,CORRECT,0.763715544,,,,,,,
Closure-123-correct-1624652314172,CORRECT,0.999987782,,,,,,,
Closure-124-correct-1624652314167,CORRECT,0.99216408,,,,,,,
Closure-125-correct-1624652314165,CORRECT,0.995599291,,,,,,,
Closure-126-correct-1624652314159,CORRECT,0.998593388,,,,,,,
Closure-127-correct-1624652314158,CORRECT,0.994065726,,,,,,,
Closure-128-correct-1636433467439,CORRECT,0.9533037,,,,,,,
Closure-129-correct-1624652314154,CORRECT,0.9800275,,,,,,,
Closure-13-correct-1636433467405,CORRECT,1,,,,,,,
Closure-130-correct-1624652314177,CORRECT,0.997137655,,,,,,,
Closure-131-correct-1636433467445,CORRECT,0.951269956,,,,,,,
Closure-132-correct-1636433467444,CORRECT,0.999699192,,,,,,,
Closure-133-correct-1624652314174,CORRECT,0.866025404,,,,,,,
Closure-134-correct-1636433467455,CORRECT,0.982179768,,,,,,,
Closure-135-correct-1636433467453,CORRECT,0.991558696,,,,,,,
Closure-136-correct-1636433467452,CORRECT,0.961899242,,,,,,,
Closure-137-correct-1636433467451,CORRECT,0.5,,,,,,,
Closure-138-correct-1636433467449,CORRECT,0.986910275,,,,,,,
Closure-139-correct-1636433467447,CORRECT,0.91558776,,,,,,,
Closure-14-correct-1624652313304,CORRECT,0.99970344,,,,,,,
Closure-140-correct-1636433467471,CORRECT,0.990307835,,,,,,,
Closure-141-correct-1636433467466,CORRECT,0.932460668,,,,,,,
