Id,Label,Cosine Similarity,,,,,,,,
Closure-1-correct-1624652314123,CORRECT,1,,,,,,,,
Closure-10-correct-1624652313294,CORRECT,0.956420644,,,,,,,,
Closure-100-correct-1636433467344,CORRECT,1,,,,,,,,
Closure-101-correct-1624652314119,CORRECT,0.098505924,,,,,,,,
Closure-102-correct-1636433467401,CORRECT,0.892701397,,,,,,,,
Closure-103-correct-1636433467400,CORRECT,0.467539441,,,,,,,,
Closure-104-correct-1636433467399,CORRECT,1,,,,,,,,
Closure-105-correct-1636433467396,CORRECT,1,,,,,,,,
Closure-106-correct-1624652314117,CORRECT,1,,,,,,,,
Closure-107-correct-1624652314115,CORRECT,0.031513923,,,,,,,,
Closure-108-correct-1624652314106,CORRECT,0.746485975,,,,,,,,
Closure-109-correct-1624652314104,CORRECT,0.054977315,,,,,,,,
Closure-11-correct-1636433467403,CORRECT,0.53775618,,,,,,,,
Closure-110-correct-1636433467404,CORRECT,0.909341067,,,,,,,,
Closure-111-correct-1636433467402,CORRECT,1,,,,,,,,
Closure-112-correct-1624652314144,CORRECT,1,,,,,,,,
Closure-113-correct-1624652314142,CORRECT,0.141389152,,,,,,,,
Closure-114-correct-1624652314137,CORRECT,1,,,,,,,,
Closure-115-correct-1624652314134,CORRECT,1,,,,,,,,
Closure-116-correct-1624652314132,CORRECT,1,,,,,,,,
Closure-117-correct-1624652314129,CORRECT,0.434552361,,,,,,,,
Closure-118-correct-1636433467406,CORRECT,0.157743165,,,,,,,,
Closure-119-correct-1624652314126,CORRECT,1,,,,,,,,
Closure-12-correct-1624652313292,CORRECT,0.400589031,,,,,,,,
Closure-120-correct-1624652314152,CORRECT,1,,,,,,,,
Closure-121-correct-1624652314150,CORRECT,0.908028549,,,,,,,,
Closure-122-correct-1624652314148,CORRECT,0.531980287,,,,,,,,
Closure-123-correct-1624652314172,CORRECT,0.868701274,,,,,,,,
Closure-124-correct-1624652314167,CORRECT,1,,,,,,,,
Closure-125-correct-1624652314165,CORRECT,0.509971185,,,,,,,,
Closure-126-correct-1624652314159,CORRECT,1,,,,,,,,
Closure-127-correct-1624652314158,CORRECT,1,,,,,,,,
Closure-128-correct-1636433467439,CORRECT,1,,,,,,,,
Closure-129-correct-1624652314154,CORRECT,1,,,,,,,,
Closure-13-correct-1636433467405,CORRECT,1,,,,,,,,
Closure-130-correct-1624652314177,CORRECT,1,,,,,,,,
Closure-131-correct-1636433467445,CORRECT,1,,,,,,,,
Closure-132-correct-1636433467444,CORRECT,1,,,,,,,,
Closure-133-correct-1624652314174,CORRECT,0.652688834,,,,,,,,
Closure-134-correct-1636433467455,CORRECT,0.560073603,,,,,,,,
Closure-135-correct-1636433467453,CORRECT,0.962715159,,,,,,,,
Closure-136-correct-1636433467452,CORRECT,0.780991539,,,,,,,,
