Id,Label,Jaccard Similarity,,,,,,,,
Time-1-correct-1636433466415,CORRECT,0.299850472,,,,,,,,
Time-10-correct-1636433466458,CORRECT,0.321324146,,,,,,,,
Time-11-correct-1624652313161,CORRECT,1,,,,,,,,
Time-12-correct-1624652313190,CORRECT,1,,,,,,,,
Time-13-correct-1636433466944,CORRECT,0.288160873,,,,,,,,
Time-14-correct-1624652313156,CORRECT,1,,,,,,,,
Time-15-correct-1636433466940,CORRECT,0.306175292,,,,,,,,
Time-16-correct-1636433466941,CORRECT,1,,,,,,,,
Time-17-correct-1624652313150,CORRECT,0.542729228,,,,,,,,
Time-18-correct-1624652313154,CORRECT,1,,,,,,,,
Time-19-correct-1624652313191,CORRECT,0.220442391,,,,,,,,
Time-2-correct-1636433466428,CORRECT,0.285142459,,,,,,,,
Time-20-correct-1624652313193,CORRECT,1,,,,,,,,
Time-22-correct-1636433466876,CORRECT,0.17441743,,,,,,,,
Time-23-correct-1636433466877,CORRECT,0.019924685,,,,,,,,
Time-24-correct-1624652313147,CORRECT,0.234998508,,,,,,,,
Time-25-correct-1636433466875,CORRECT,0.227541836,,,,,,,,
Time-26-correct-1636433466874,CORRECT,0.583716482,,,,,,,,
Time-27-correct-1636433466875,CORRECT,0.290369305,,,,,,,,
Time-3-correct-1636433466426,CORRECT,0.245514924,,,,,,,,
Time-4-correct-1624652313115,CORRECT,0.556557082,,,,,,,,
Time-5-correct-1636433466431,CORRECT,0.212349909,,,,,,,,
Time-6-correct-1636433466432,CORRECT,0.951173473,,,,,,,,
Time-7-correct-1624652313133,CORRECT,0.683215736,,,,,,,,
Time-8-correct-1636433466434,CORRECT,0.23602848,,,,,,,,
Time-9-correct-1624652313137,CORRECT,0.258104105,,,,,,,,
Time-11-incorrect-1624652313179,INCORRECT,0.909119135,,,,,,,,
Time-11-incorrect-1624652313164,INCORRECT,0.00503719,,,,,,,,
Time-11-incorrect-1624652313186,INCORRECT,0.066949367,,,,,,,,
Time-11-incorrect-1624652313185,INCORRECT,0.077441263,,,,,,,,
Time-11-incorrect-1624652313166,INCORRECT,0.08043082,,,,,,,,
Time-11-incorrect-1624652313188,INCORRECT,0.086249586,,,,,,,,
Time-11-incorrect-1624652313165,INCORRECT,0.066195924,,,,,,,,
Time-11-incorrect-1624652313187,INCORRECT,0.064722702,,,,,,,,
Time-11-incorrect-1628244107950,INCORRECT,0.136546873,,,,,,,,
Time-11-incorrect-1628244107951,INCORRECT,0.010912153,,,,,,,,
Time-11-incorrect-1624652313182,INCORRECT,0.003700715,,,,,,,,
Time-11-incorrect-1624652313181,INCORRECT,0.021377341,,,,,,,,
Time-11-incorrect-1624652313162,INCORRECT,0.071475114,,,,,,,,
Time-11-incorrect-1624652313184,INCORRECT,0.007498129,,,,,,,,
Time-11-incorrect-1624652313172,INCORRECT,0.029105708,,,,,,,,
Time-11-incorrect-1624652313183,INCORRECT,0.106871445,,,,,,,,
Time-11-incorrect-1624652313180,INCORRECT,0.016730816,,,,,,,,
Time-14-incorrect-1624652313160,INCORRECT,0.941848262,,,,,,,,
Time-14-incorrect-1628244107944,INCORRECT,0.935015665,,,,,,,,
Time-14-incorrect-1624652313157,INCORRECT,0.9016936,,,,,,,,
Time-14-incorrect-1624652313159,INCORRECT,0.94368167,,,,,,,,
Time-17-incorrect-1624652313153,INCORRECT,0.440807874,,,,,,,,
Time-17-incorrect-1624652313151,INCORRECT,0.461466749,,,,,,,,
Time-17-incorrect-1628244107942,INCORRECT,0.45685202,,,,,,,,
Time-18-incorrect-1624652313155,INCORRECT,0.640118277,,,,,,,,
Time-19-incorrect-1624652313192,INCORRECT,0.15848676,,,,,,,,
Time-20-incorrect-1624652313194,INCORRECT,0.90029193,,,,,,,,
Time-24-incorrect-1624652313149,INCORRECT,0.051332286,,,,,,,,
Time-24-incorrect-1628244107940,INCORRECT,0.159448043,,,,,,,,
Time-4-incorrect-1624652313123,INCORRECT,0.456510142,,,,,,,,
Time-4-incorrect-1624652313124,INCORRECT,0.450583435,,,,,,,,
Time-4-incorrect-1624652313125,INCORRECT,0.483477921,,,,,,,,
Time-4-incorrect-1624652313126,INCORRECT,0.426308749,,,,,,,,
Time-4-incorrect-1624652313128,INCORRECT,0.489552436,,,,,,,,
Time-4-incorrect-1624652313129,INCORRECT,0.415809732,,,,,,,,
Time-4-incorrect-1624652313130,INCORRECT,0.460476689,,,,,,,,
Time-4-incorrect-1624652313131,INCORRECT,0.457631422,,,,,,,,
Time-4-incorrect-1624652313132,INCORRECT,0.460944465,,,,,,,,
Time-4-incorrect-1628244107920,INCORRECT,0.448644528,,,,,,,,
Time-4-incorrect-1628244107930,INCORRECT,0.452559598,,,,,,,,
Time-7-incorrect-1624652313134,INCORRECT,0.586328285,,,,,,,,
Time-7-incorrect-1624652313135,INCORRECT,0.247025363,,,,,,,,
Time-7-incorrect-1628244107934,INCORRECT,0.619957174,,,,,,,,
Time-9-incorrect-1624652313143,INCORRECT,0.14572471,,,,,,,,
Time-9-incorrect-1628244107937,INCORRECT,0.186661722,,,,,,,,
