Id,Label,Cosine Similarity,,,,,,,,
Lang-1-correct-1624652314098,CORRECT,0.994988393,,,,,,,,
Lang-10-correct-1624652313495,CORRECT,0.958718432,,,,,,,,
Lang-11-correct-1636433467012,CORRECT,0.991723025,,,,,,,,
Lang-12-correct-1624652313643,CORRECT,0.987993397,,,,,,,,
Lang-13-correct-1624652313639,CORRECT,0.897799606,,,,,,,,
Lang-14-correct-1624652313649,CORRECT,0.872356744,,,,,,,,
Lang-15-correct-1624652313645,CORRECT,0.989185145,,,,,,,,
Lang-16-correct-1624652313607,CORRECT,0.999156661,,,,,,,,
Lang-17-correct-1636433467127,CORRECT,0.965018423,,,,,,,,
Lang-18-correct-1624652313615,CORRECT,0.999335236,,,,,,,,
Lang-19-correct-1636433467133,CORRECT,0.942558992,,,,,,,,
Lang-20-correct-1624652313561,CORRECT,0.950624432,,,,,,,,
Lang-21-correct-1624652313579,CORRECT,0.996011964,,,,,,,,
Lang-22-correct-1624652313568,CORRECT,0.967336875,,,,,,,,
Lang-23-correct-1636433467196,CORRECT,1,,,,,,,,
Lang-24-correct-1624652313681,CORRECT,0.999714793,,,,,,,,
Lang-26-correct-1636433467199,CORRECT,0.984731928,,,,,,,,
Lang-27-correct-1624652313653,CORRECT,0.998668256,,,,,,,,
Lang-28-correct-1636433467178,CORRECT,0.969568058,,,,,,,,
Lang-29-correct-1628244108182,CORRECT,1,,,,,,,,
Lang-3-correct-1636433467335,CORRECT,0.999124439,,,,,,,,
Lang-30-correct-1636433467145,CORRECT,0.933653745,,,,,,,,
Lang-31-correct-1628244108177,CORRECT,0.905668881,,,,,,,,
Lang-32-correct-1636433467150,CORRECT,0.811071685,,,,,,,,
Lang-33-correct-1636433467147,CORRECT,0.978217498,,,,,,,,
Lang-34-correct-1636433467227,CORRECT,0.855441504,,,,,,,,
Lang-35-correct-1624652313767,CORRECT,0,,,,,,,,
Lang-36-correct-1636433467231,CORRECT,0.999436526,,,,,,,,
Lang-37-correct-1636433467230,CORRECT,0,,,,,,,,
Lang-38-correct-1636433467217,CORRECT,0.984495185,,,,,,,,
Lang-39-correct-1624652313706,CORRECT,0.5,,,,,,,,
Lang-4-correct-1636433467336,CORRECT,0.994994521,,,,,,,,
Lang-40-correct-1628244108191,CORRECT,0.632771997,,,,,,,,
Lang-41-correct-1624652313689,CORRECT,0.86703917,,,,,,,,
Lang-42-correct-1636433467201,CORRECT,0.985105113,,,,,,,,
Lang-43-correct-1624652313700,CORRECT,0.998819304,,,,,,,,
Lang-44-correct-1624652313693,CORRECT,0.999059135,,,,,,,,
Lang-45-correct-1624652313849,CORRECT,0.994257764,,,,,,,,
Lang-46-correct-1624652313846,CORRECT,0.597935661,,,,,,,,
Lang-47-correct-1636433467264,CORRECT,0.984801164,,,,,,,,
Lang-48-correct-1636433467263,CORRECT,0.5,,,,,,,,
Lang-49-correct-1636433467236,CORRECT,0.931976805,,,,,,,,
Lang-5-correct-1636433467333,CORRECT,0.993361062,,,,,,,,
