Id,Label,Cosine Similarity,,,,,,,,
Time-1-correct-1636433466415,CORRECT,0.994127291,,,,,,,,
Time-10-correct-1636433466458,CORRECT,0.989873418,,,,,,,,
Time-11-correct-1624652313161,CORRECT,0,,,,,,,,
Time-12-correct-1624652313190,CORRECT,0.963688918,,,,,,,,
Time-13-correct-1636433466944,CORRECT,0.988243905,,,,,,,,
Time-14-correct-1624652313156,CORRECT,0.906759388,,,,,,,,
Time-15-correct-1636433466940,CORRECT,0.958856633,,,,,,,,
Time-16-correct-1636433466941,CORRECT,0.996288637,,,,,,,,
Time-17-correct-1624652313150,CORRECT,0.685,,,,,,,,
Time-18-correct-1624652313154,CORRECT,0.967855374,,,,,,,,
Time-19-correct-1624652313191,CORRECT,0.99691358,,,,,,,,
Time-2-correct-1636433466428,CORRECT,0.998751783,,,,,,,,
Time-20-correct-1624652313193,CORRECT,0.776757072,,,,,,,,
Time-22-correct-1636433466876,CORRECT,0.099014754,,,,,,,,
Time-23-correct-1636433466877,CORRECT,0.995977467,,,,,,,,
Time-24-correct-1624652313147,CORRECT,0.980953019,,,,,,,,
Time-25-correct-1636433466875,CORRECT,0.918437375,,,,,,,,
Time-26-correct-1636433466874,CORRECT,0.5,,,,,,,,
Time-27-correct-1636433466875,CORRECT,0.982060967,,,,,,,,
Time-3-correct-1636433466426,CORRECT,0.95217017,,,,,,,,
Time-4-correct-1624652313115,CORRECT,0.5,,,,,,,,
Time-5-correct-1636433466431,CORRECT,0.925458663,,,,,,,,
Time-6-correct-1636433466432,CORRECT,0.954067279,,,,,,,,
Time-7-correct-1624652313133,CORRECT,0.997292576,,,,,,,,
Time-8-correct-1636433466434,CORRECT,0.988826465,,,,,,,,
Time-9-correct-1624652313137,CORRECT,0.880563483,,,,,,,,
Time-11-incorrect-1624652313179,INCORRECT,0.790569415,,,,,,,,
Time-11-incorrect-1624652313164,INCORRECT,0.998135507,,,,,,,,
Time-11-incorrect-1624652313186,INCORRECT,0.992583038,,,,,,,,
Time-11-incorrect-1624652313185,INCORRECT,0.997120837,,,,,,,,
Time-11-incorrect-1624652313166,INCORRECT,0.98810729,,,,,,,,
Time-11-incorrect-1624652313188,INCORRECT,0.92041428,,,,,,,,
Time-11-incorrect-1624652313165,INCORRECT,0.997766912,,,,,,,,
Time-11-incorrect-1624652313187,INCORRECT,0.996779943,,,,,,,,
Time-11-incorrect-1628244107950,INCORRECT,0.998522076,,,,,,,,
Time-11-incorrect-1628244107951,INCORRECT,0.999739414,,,,,,,,
Time-11-incorrect-1624652313182,INCORRECT,0.997054309,,,,,,,,
Time-11-incorrect-1624652313181,INCORRECT,0.98810729,,,,,,,,
Time-11-incorrect-1624652313162,INCORRECT,0.999496277,,,,,,,,
Time-11-incorrect-1624652313184,INCORRECT,0.995667056,,,,,,,,
Time-11-incorrect-1624652313172,INCORRECT,0.959959948,,,,,,,,
Time-11-incorrect-1624652313183,INCORRECT,0.994719653,,,,,,,,
Time-11-incorrect-1624652313180,INCORRECT,0.998135507,,,,,,,,
Time-14-incorrect-1624652313160,INCORRECT,0.857765856,,,,,,,,
Time-14-incorrect-1628244107944,INCORRECT,0.985915493,,,,,,,,
Time-14-incorrect-1624652313157,INCORRECT,0.985915493,,,,,,,,
Time-14-incorrect-1624652313159,INCORRECT,0.866677609,,,,,,,,
Time-17-incorrect-1624652313153,INCORRECT,0.990002104,,,,,,,,
Time-17-incorrect-1624652313151,INCORRECT,0.98488578,,,,,,,,
Time-17-incorrect-1628244107942,INCORRECT,0.989949494,,,,,,,,
Time-18-incorrect-1624652313155,INCORRECT,0.887732742,,,,,,,,
Time-19-incorrect-1624652313192,INCORRECT,0.989143498,,,,,,,,
Time-20-incorrect-1624652313194,INCORRECT,0.986666667,,,,,,,,
Time-24-incorrect-1624652313149,INCORRECT,0.985814884,,,,,,,,
Time-24-incorrect-1628244107940,INCORRECT,0.97170778,,,,,,,,
Time-4-incorrect-1624652313123,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313124,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313125,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313126,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313128,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313129,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313130,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313131,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1624652313132,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1628244107920,INCORRECT,0.5,,,,,,,,
Time-4-incorrect-1628244107930,INCORRECT,0.5,,,,,,,,
Time-7-incorrect-1624652313134,INCORRECT,0.998704663,,,,,,,,
Time-7-incorrect-1624652313135,INCORRECT,0.999115745,,,,,,,,
Time-7-incorrect-1628244107934,INCORRECT,0.999089349,,,,,,,,
Time-9-incorrect-1624652313143,INCORRECT,0.803219329,,,,,,,,
Time-9-incorrect-1628244107937,INCORRECT,0.918558654,,,,,,,,
