Id,Label,Jaccard Similarity,,,,,,,,
Math-1-correct-1624652313530,CORRECT,0.091090537,,,,,,,,
Math-10-correct-1636433467481,CORRECT,0.039902339,,,,,,,,
Math-100-correct-1636433466579,CORRECT,0.09935717,,,,,,,,
Math-101-correct-1628244108085,CORRECT,0.070156039,,,,,,,,
Math-102-correct-1636433466575,CORRECT,1,,,,,,,,
Math-103-correct-1624652313421,CORRECT,0.033123726,,,,,,,,
Math-105-correct-1624652313412,CORRECT,0.042498698,,,,,,,,
Math-106-correct-1636433466525,CORRECT,0.034830081,,,,,,,,
Math-11-correct-1628244108342,CORRECT,0.093871502,,,,,,,,
Math-12-correct-1636433467482,CORRECT,0.533942872,,,,,,,,
Math-13-correct-1636433467483,CORRECT,0.134630067,,,,,,,,
Math-14-correct-1636433467458,CORRECT,0.179505595,,,,,,,,
Math-15-correct-1624652314181,CORRECT,0.594562095,,,,,,,,
Math-17-correct-1636433467463,CORRECT,0.04668538,,,,,,,,
Math-18-correct-1624652314183,CORRECT,0.086515345,,,,,,,,
Math-19-correct-1636433467473,CORRECT,0.067630501,,,,,,,,
Math-2-correct-1624652313535,CORRECT,0.565656563,,,,,,,,
Math-20-correct-1624652313617,CORRECT,0.016966668,,,,,,,,
Math-21-correct-1636433467143,CORRECT,0.071489623,,,,,,,,
Math-22-correct-1624652313642,CORRECT,0.516826953,,,,,,,,
Math-23-correct-1636433467144,CORRECT,0.011374449,,,,,,,,
Math-24-correct-1624652313647,CORRECT,0.035533432,,,,,,,,
Math-25-correct-1636433467097,CORRECT,0.00750296,,,,,,,,
Math-26-correct-1636433467098,CORRECT,0.006165902,,,,,,,,
Math-27-correct-1636433467100,CORRECT,0.029281105,,,,,,,,
Math-28-correct-1624652313580,CORRECT,0.050353541,,,,,,,,
Math-29-correct-1624652313605,CORRECT,0.012086706,,,,,,,,
Math-3-correct-1624652313525,CORRECT,0.128678219,,,,,,,,
Math-30-correct-1624652313663,CORRECT,0.547725563,,,,,,,,
Math-31-correct-1624652313664,CORRECT,0.518574664,,,,,,,,
Math-32-correct-1624652313677,CORRECT,0.03966447,,,,,,,,
Math-33-correct-1624652313683,CORRECT,0.049177263,,,,,,,,
Math-34-correct-1636433467198,CORRECT,0.06619811,,,,,,,,
Math-35-correct-1636433467200,CORRECT,0.089114677,,,,,,,,
Math-36-correct-1636433467168,CORRECT,0.134158536,,,,,,,,
Math-37-correct-1636433467169,CORRECT,0.042398619,,,,,,,,
Math-38-correct-1636433467171,CORRECT,0.005768571,,,,,,,,
Math-39-correct-1624652313651,CORRECT,0.432661213,,,,,,,,
Math-4-correct-1624652313527,CORRECT,0.014047162,,,,,,,,
Math-40-correct-1624652313440,CORRECT,0.569668625,,,,,,,,
Math-41-correct-1624652313455,CORRECT,0.008218068,,,,,,,,
Math-42-correct-1624652313459,CORRECT,0.087724456,,,,,,,,
Math-43-correct-1624652313463,CORRECT,0.134314033,,,,,,,,
Math-44-correct-1624652313465,CORRECT,0.050867052,,,,,,,,
Math-45-correct-1636433467008,CORRECT,0.082075535,,,,,,,,
Math-46-correct-1636433467010,CORRECT,0.03831358,,,,,,,,
Math-47-correct-1636433466968,CORRECT,0.103567977,,,,,,,,
Math-48-correct-1636433466968,CORRECT,0.190107178,,,,,,,,
Math-49-correct-1624652313422,CORRECT,0.011046702,,,,,,,,
Math-5-correct-1624652313485,CORRECT,0.096998221,,,,,,,,
Math-50-correct-1624652313509,CORRECT,0.159360207,,,,,,,,
Math-51-correct-1636433467029,CORRECT,0.170040715,,,,,,,,
Math-52-correct-1624652313518,CORRECT,0.041280292,,,,,,,,
Math-53-correct-1624652313520,CORRECT,0.016022232,,,,,,,,
